Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol
2020-07-07,4625.0,4709.0498046875,3213,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-08,4709.0498046875,4614.2001953125,3901,0.9798580152453295,979858.0152453295,979858.0152453295,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-09,4729.9501953125,4700.0498046875,633,1.0186055233282278,998088.7864063275,998088.7864063275,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-10,4720.0,4629.35009765625,759,0.9849576685419931,983075.2040566836,998088.7864063275,-15013.582349643926,,,,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-13,4729.9501953125,4608.2001953125,506,0.9954313452433727,978583.8728495478,998088.7864063275,-19504.913556779735,,,,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-14,4597.0498046875,4613.5498046875,1376,1.0011608890994887,979719.9002004743,998088.7864063275,-18368.886205853196,,,,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-15,4652.0,4628.35009765625,435,1.0032080054611554,982862.84699072,998088.7864063275,-15225.939415607485,,,,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-16,4622.2001953125,4632.7998046875,700,1.0009614024301021,983807.773720274,998088.7864063275,-14281.012686053524,,,,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-17,4699.0,4641.0498046875,943,1.0017807805965742,985559.7195144738,998088.7864063275,-12529.066891853698,,,,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-20,4600.0498046875,4718.4501953125,1091,1.0166773454029356,1001996.2393720372,1001996.2393720372,0.0,,,1355.7,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-21,4730.0,4694.7001953125,980,0.994966567619259,996952.7590554013,1001996.2393720372,-5043.48031663592,,,1132.4,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-22,4660.0,4726.10009765625,1180,1.0066883722149291,1003620.7501886643,1003620.7501886643,0.0,,,860.3,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-23,4769.9501953125,4716.0498046875,1627,0.9978734489830772,1001486.4994617456,1003620.7501886643,-2134.25072691869,4663.992300180288,,959.7,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-24,4708.5,4924.64990234375,5041,1.0442319539223086,1045784.2041597517,1045784.2041597517,0.0,4680.576923076923,,1387.9,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-27,4950.0,5049.7001953125,7492,1.0253927274930215,1072339.5174724865,1072339.5174724865,0.0,4714.076923076923,,2086.5,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-28,5050.0,5101.7001953125,2693,1.0102976410457536,1083382.0849025948,1083382.0849025948,0.0,4744.973106971154,,2218.2,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-29,5120.0,5086.25,917,0.9969715595348594,1080101.1267574674,1083382.0849025948,-3280.958145127399,4780.119253305288,,2266.4,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-30,5085.0,5086.85009765625,453,1.0001179843020398,1080228.5617350403,1083382.0849025948,-3153.523167554522,4816.9384765625,,2241.7,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-07-31,5072.9501953125,5047.2001953125,459,0.9922054116825619,1071808.6248075773,1083382.0849025948,-11573.46009501745,4850.2961989182695,,2193.3,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-03,5020.0,5046.89990234375,679,0.9999405030596906,1071744.855473804,1083382.0849025948,-11637.229428790743,4882.492337740385,,2152.1,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-04,5052.14990234375,5181.89990234375,3955,1.0267490940205306,1100413.0593788929,1100413.0593788929,0.0,4924.730806790865,,2449.6,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-05,5175.0,5137.2998046875,466,0.9913930993464236,1090941.9134989206,1100413.0593788929,-9471.14587997226,4962.903883713942,,2378.2,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-06,5157.4501953125,5128.7998046875,1149,0.9983454343092368,1089136.87843823,1100413.0593788929,-11276.180940662976,4994.46923828125,,2330.4,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-07,5154.7998046875,5148.39990234375,2146,1.0038215758857143,1093299.0976691116,1100413.0593788929,-7113.961709781317,5029.369215745192,,2040.9,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-10,5269.9501953125,5346.5498046875,2221,1.0384876672562955,1135377.6295518083,1135377.6295518083,0.0,5077.096116286058,,1513.8,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-11,5407.7998046875,5264.5,1424,0.9846536911307617,1117953.7737654827,1135377.6295518083,-17423.855786325643,5119.284592848558,,1386.9,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-12,5230.0,5235.0498046875,430,0.9944058893888309,1111699.8166968648,1135377.6295518083,-23677.812854943564,5143.161508413462,,1338.2,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-13,5266.14990234375,5264.39990234375,950,1.0056064600627046,1117932.5173208918,1135377.6295518083,-17445.112230916508,5159.676870492788,,1387.9,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-14,5344.0,5231.10009765625,1595,0.9936745298029743,1110861.0685002927,1135377.6295518083,-24516.56105151563,5169.630709134615,,1501.5,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-17,5210.0,5255.10009765625,1142,1.0045879450884057,1115957.6380834195,1135377.6295518083,-19419.99146838882,5182.619178185096,,1547.8,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-18,5276.7998046875,5279.0,800,1.0045479442635943,1121032.9512219552,1135377.6295518083,-14344.678329853108,5197.399939903846,,1232.3,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-19,5300.0,5616.0,4808,1.0638378480772874,1192597.2824516955,1192597.2824516955,0.0,5241.153771033654,,1666.5,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-20,5616.0,5751.60009765625,4519,1.0241453165342325,1221392.921334357,1221392.921334357,0.0,5295.361478365385,,2003.5,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-21,5753.39990234375,5696.10009765625,2472,0.9903505113259498,1209607.104173376,1221392.921334357,-11785.817160981009,5334.9153395432695,5015.027932559743,2036.1,True,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-24,5820.0,5847.0,1885,1.026491792587325,1241651.7646892918,1241651.7646892918,0.0,5389.507662259615,5048.497055951287,2002.5,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-25,5890.0,5863.85009765625,4262,1.0028818364385583,1245230.0019887737,1245230.0019887737,0.0,5446.0499924879805,5085.25146484375,2286.3,True,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-26,5930.0,5899.39990234375,1733,1.0060625364044877,1252779.2542077908,1252779.2542077908,0.0,5503.819223257212,5120.526467715993,2416.6,False,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-27,5999.5,6267.64990234375,7755,1.0624216032301352,1330979.7437488944,1330979.7437488944,0.0,5574.673076923077,5168.711756089155,3097.1,True,1.0,1000000.0,1000000.0,0.0,ATUL.BO
2020-08-28,6398.0,6215.75,10948,0.991719399910269,1319958.4327633772,1330979.7437488944,-11021.310985517222,5647.846153846154,5215.99263269761,4032.4,True,0.991719399910269,991719.3999102691,1000000.0,-8280.600089730928,ATUL.BO
2020-08-31,6220.0,5776.0498046875,7692,0.9292603152777219,1226584.9893831834,1330979.7437488944,-104394.754365711,5689.461538461538,5250.183809168198,4687.4,True,0.9292603152777219,921565.4822276498,1000000.0,-78434.51777235023,ATUL.BO
2020-09-01,5801.0,5956.10009765625,3465,1.0311718733489161,1264819.9413239178,1330979.7437488944,-66159.8024249766,5742.6692457932695,5289.235279756434,4953.9,False,1.0,921565.4822276498,1000000.0,-78434.51777235023,ATUL.BO
2020-09-02,5978.7001953125,6087.7998046875,4911,1.0221117350064473,1292787.3046973424,1330979.7437488944,-38192.43905155198,5808.569223257212,5332.029397403493,4964.2,False,1.0,921565.4822276498,1000000.0,-78434.51777235023,ATUL.BO
