Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol,Long_Condition,Sell_Condition,New_Sell_Condition
2002-07-01,9.914999961853027,10.904999732971191,80674,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-02,10.649999618530273,11.005000114440918,31254,1.0091701406619367,1009170.1406619367,1009170.1406619367,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-03,10.755000114440918,10.505000114440918,23920,0.954566106787778,963319.6122581391,1009170.1406619367,-45850.52840379765,,,,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-04,10.600000381469727,11.020000457763672,70256,1.0490243063029383,1010545.68799711,1010545.68799711,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-05,10.864999771118164,10.479999542236328,51574,0.950998104074768,961027.0333661836,1010545.68799711,-49518.65463092632,,,,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-08,10.75,11.545000076293945,119282,1.1016221928031074,1058688.7078399204,1058688.7078399204,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-09,11.600000381469727,12.300000190734863,151538,1.0653962849243463,1127923.0162240076,1127923.0162240076,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-10,12.5,12.005000114440918,126428,0.9760162543317554,1100871.1974695318,1127923.0162240076,-27051.818754475797,,,,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-11,12.100000381469727,11.680000305175781,56172,0.9729279628349031,1071068.3714976518,1127923.0162240076,-56854.64472635579,,,,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-12,11.5600004196167,11.5,57040,0.9845890153704862,1054562.153287343,1127923.0162240076,-73360.8629366646,,,76813.8,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-15,11.5,11.5600004196167,40580,1.0052174277927564,1060064.2551750934,1127923.0162240076,-67858.76104891417,,,72804.4,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-16,11.5,12.085000038146973,91866,1.0454151902658566,1108207.2750179037,1127923.0162240076,-19715.741206103936,,,78865.6,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-17,12.100000381469727,12.470000267028809,182100,1.0318576936422474,1143512.2028775339,1143512.2028775339,0.0,11.466153951791616,,94683.6,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-18,12.609999656677246,12.640000343322754,121536,1.013632724350731,1159101.3895310606,1159101.3895310606,0.0,11.599615537203276,,99811.6,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-19,12.399999618530273,12.40999984741211,42300,0.9818037587291566,1138010.1009897836,1159101.3895310606,-21091.28854127694,11.707692439739521,,98884.2,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-22,12.300000190734863,11.550000190734863,56976,0.930701074355244,1059147.2236183113,1159101.3895310606,-99954.16591274925,11.7880770609929,,92653.6,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-23,12.0,11.699999809265137,26830,1.012986979744866,1072902.3471582734,1159101.3895310606,-86199.04237278714,11.84038470341609,,80182.8,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-24,13.0,11.170000076293945,9126,0.9547008767853579,1024300.8115370722,1159101.3895310606,-134800.5779939884,11.89346166757437,,68452.6,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
2002-07-25,11.5,11.104999542236328,18052,0.9941807937678024,1018340.1938709307,1159101.3895310606,-140761.1956601299,11.85961547264686,,64640.6,False,1.0,1000000.0,1000000.0,0.0,EIDPARRY.NS,False,False,False
