Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol,Long_Condition,Sell_Condition,New_Sell_Condition
2002-07-01,5.25,5.275000095367432,121880,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-02,5.324999809265137,5.462500095367432,231080,1.0355450230540593,1035545.0230540592,1035545.0230540592,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-03,5.525000095367432,5.400000095367432,218240,0.9885583526025008,1023696.6820360395,1035545.0230540592,-11848.34101801971,,,,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-04,5.487500190734863,5.550000190734863,354252,1.0277777949478397,1052132.7185584207,1052132.7185584207,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-05,5.6875,5.4375,272724,0.9797296960597099,1030805.6685677178,1052132.7185584207,-21327.049990702886,,,,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-08,5.5,6.199999809265137,1308144,1.1402298499797952,1175355.3928292913,1175355.3928292913,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-09,6.474999904632568,6.074999809265137,424868,0.9798387090571837,1151658.7107932519,1175355.3928292913,-23696.68203603942,,,,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-10,6.375,5.8125,197460,0.9567901534968295,1101895.714675836,1175355.3928292913,-73459.67815345526,,,,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-11,5.8125,5.862500190734863,191124,1.0086021833522345,1111374.4236485192,1175355.3928292913,-63980.96918077208,,,,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-12,5.875,5.724999904632568,126332,0.9765457941784631,1085308.019171475,1175355.3928292913,-90047.37365781632,,,344610.4,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-15,5.699999809265137,5.574999809265137,88052,0.9737991095430317,1056871.982649094,1175355.3928292913,-118483.41018019733,,,341227.6,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-16,5.5625,5.512499809265137,86320,0.9887892372846129,1045023.6416310742,1175355.3928292913,-130331.75119821704,,,326751.6,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-17,5.474999904632568,5.349999904632568,77400,0.970521558230361,1014217.9730633567,1175355.3928292913,-161137.41976593458,5.633653824145977,,312667.6,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-18,5.449999809265137,5.5,79652,1.0280374015030442,1042654.0095857377,1175355.3928292913,-132701.38324355357,5.650961509117713,,285207.6,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-19,5.287499904632568,5.5,56440,1.0,1042654.0095857377,1175355.3928292913,-132701.38324355357,5.653846117166372,,263579.2,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-22,5.025000095367432,5.050000190734863,51304,0.9181818528608843,957345.9904142629,1175355.3928292913,-218009.40241502842,5.626923047579252,,137895.2,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-23,5.050000190734863,5.199999809265137,110144,1.029702893636613,985781.9365409757,1175355.3928292913,-189573.4562883156,5.599999941312349,,106422.8,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-24,5.099999904632568,5.1875,83856,0.997596190437764,983412.3044956389,1175355.3928292913,-191943.08833365235,5.58076917208158,,95062.4,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-25,5.275000095367432,5.275000095367432,82932,1.0168674882636013,1000000.0000000002,1175355.3928292913,-175355.39282929106,5.509615347935603,,84243.2,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-26,5.150000095367432,5.050000190734863,273112,0.9573459904142626,957345.9904142629,1175355.3928292913,-218009.40241502842,5.430769223433274,,98921.2,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-29,5.137499809265137,5.1875,239552,1.0272276839746273,983412.3044956389,1175355.3928292913,-191943.08833365235,5.382692300356352,,114071.2,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-30,5.199999809265137,5.012499809265137,282800,0.9662650234727974,950236.9134869163,1175355.3928292913,-225118.47934237495,5.317307655627911,,133719.2,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-07-31,4.887499809265137,5.25,72000,1.047381585989463,995260.6455136585,1175355.3928292913,-180094.74731563276,5.2807692014254055,,133179.2,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-08-01,5.150000095367432,5.112500190734863,444644,0.973809560139974,969194.3314322823,1175355.3928292913,-206161.06139700895,5.2451923076923075,,169678.4,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-08-02,5.012499809265137,4.962500095367432,19180,0.9706601291400889,940758.2949099013,1175355.3928292913,-234597.09791938995,5.202884637392485,,165952.4,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-08-05,4.875,5.0,54172,1.007556655700133,947867.2814415796,1175355.3928292913,-227488.11138771172,5.175961567805364,,166239.2,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-08-06,5.112500190734863,4.987500190734863,85332,0.9975000381469726,945497.6493962429,1175355.3928292913,-229857.74343304837,5.136538505554199,,163758.0,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-08-07,5.0,5.0625,14244,1.0150375551673083,959715.6224595993,1175355.3928292913,-215639.770369692,5.102884659400353,,156796.8,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
2002-08-08,5.175000190734863,4.925000190734863,25504,0.9728395438488618,933649.3083782231,1175355.3928292913,-241706.0844510682,5.093269274784968,,151054.0,False,1.0,1000000.0,1000000.0,0.0,ELGIEQUIP.NS,False,False,False
