Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol,Long_Condition,Sell_Condition,New_Sell_Condition
2020-07-07,35.75,33.95000076293945,38708,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,GAEL.BO,False,False,False
2020-07-08,33.95000076293945,34.5,27764,1.0162002717143068,1016200.2717143068,1016200.2717143068,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,GAEL.BO,False,False,False
2020-07-09,32.42499923706055,34.3125,7852,0.9945652173913043,1010677.4441506421,1016200.2717143068,-5522.827563664643,,,,False,1.0,1000000.0,1000000.0,0.0,GAEL.BO,False,False,False
2020-07-10,35.5,37.73749923706055,116684,1.099817828402493,1111561.0718411412,1111561.0718411412,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,GAEL.BO,False,False,False
2020-07-13,38.462501525878906,36.82500076293945,30820,0.9758198478285768,1084683.355976192,1111561.0718411412,-26877.71586494916,,,,False,1.0,1000000.0,1000000.0,0.0,GAEL.BO,False,False,False
2020-07-14,36.82500076293945,35.4375,15492,0.9623217723233334,1043814.4095326302,1111561.0718411412,-67746.66230851097,,,,False,1.0,1000000.0,1000000.0,0.0,GAEL.BO,False,False,False
2020-07-15,38.224998474121094,36.76250076293945,44696,1.0373897922522597,1082842.4134549703,1111561.0718411412,-28718.658386170864,,,,False,1.0,1000000.0,1000000.0,0.0,GAEL.BO,False,False,False
2020-07-16,36.98749923706055,36.599998474121094,10152,0.995579672616228,1078055.8954824656,1111561.0718411412,-33505.176358675584,,,,False,1.0,1000000.0,1000000.0,0.0,GAEL.BO,False,False,False
2020-07-17,37.162498474121094,36.837501525878906,5840,1.0064891546901495,1085051.566952879,1111561.0718411412,-26509.504888262134,,,,False,1.0,1000000.0,1000000.0,0.0,GAEL.BO,False,False,False
2020-07-20,37.5,37.650001525878906,23056,1.0220563275560153,1108983.8197287594,1111561.0718411412,-2577.2521123818588,,,32106.4,False,1.0,1000000.0,1000000.0,0.0,GAEL.BO,False,False,False
