Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol
2020-07-07,158.25,160.0500030517578,179656,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
2020-07-08,162.64999389648438,163.4499969482422,262223,1.021243322909434,1021243.322909434,1021243.322909434,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
2020-07-09,165.0,170.5,226040,1.0431324758849048,1065292.075907445,1065292.075907445,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
2020-07-10,171.8000030517578,173.1999969482422,442099,1.015835759227227,1082161.784728188,1082161.784728188,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
2020-07-13,180.0,171.0,288594,0.9872979388741004,1068416.0995904582,1082161.784728188,-13745.685137729859,,,,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
2020-07-14,172.0,164.25,107377,0.9605263157894737,1026241.779869782,1082161.784728188,-55920.00485840603,,,,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
2020-07-15,166.0,160.6999969482422,118364,0.9783865872039098,1004061.1926528622,1082161.784728188,-78100.5920753259,,,,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
2020-07-16,161.8000030517578,158.5,86536,0.986309912943242,990315.5075151322,1082161.784728188,-91846.27721305587,,,,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
2020-07-17,161.0,161.5500030517578,87940,1.0192429214621943,1009372.071049039,1082161.784728188,-72789.71367914905,,,,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
2020-07-20,162.89999389648438,163.25,110777,1.0105230387875483,1019993.7325037561,1082161.784728188,-62168.052224432,,,190960.6,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
2020-07-21,163.89999389648438,163.64999389648438,106820,1.002450192321497,1022492.9133151118,1082161.784728188,-59668.8714130763,,,183677.0,False,1.0,1000000.0,1000000.0,0.0,GNFC.BO
