Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol,Long_Condition,Sell_Condition,New_Sell_Condition
2020-07-07,888.0499877929688,921.4500122070312,6293,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-08,919.3499755859375,921.0999755859375,2426,0.999620124134292,999620.124134292,999620.124134292,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-09,911.7000122070312,902.8499755859375,3017,0.9801867327285612,979814.3834449104,999620.124134292,-19805.740689381608,,,,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-10,895.0,918.6500244140625,4273,1.017500193005899,996961.3242651522,999620.124134292,-2658.799869139795,,,,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-13,948.0,922.7999877929688,2565,1.0045174585191496,1001465.0556927165,1001465.0556927165,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-14,925.7000122070312,933.0499877929688,9926,1.0111074990632745,1012588.8278607253,1012588.8278607253,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-15,938.0,994.1500244140625,27212,1.0654842049412803,1078897.402185608,1078897.402185608,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-16,1015.0,1031.800048828125,51282,1.0378715721867562,1119756.943034584,1119756.943034584,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-17,1044.0,997.9000244140625,9184,0.9671447733961975,1082967.0749300015,1119756.943034584,-36789.86810458242,,,,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-20,1011.0,1005.0999755859375,5893,1.0072151027114191,1090780.7936087067,1119756.943034584,-28976.14942587726,,,12207.1,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-21,1010.0,978.0999755859375,7808,0.9731370006408965,1061479.1498490735,1119756.943034584,-58277.79318551044,,,12358.6,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-22,990.0,993.5,147801,1.0157448367226847,1078191.9657479813,1119756.943034584,-41564.9772866026,,,26896.1,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-23,998.0,979.75,7216,0.986160040261701,1063269.8323518718,1119756.943034584,-56487.11068271217,961.5538470928485,,27316.0,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-24,1005.1500244140625,1118.699951171875,192555,1.141821843502807,1214064.7201169345,1214064.7201169345,0.0,976.7269193209135,,46144.2,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-27,1123.0,1128.800048828125,125365,1.0090284241504344,1225025.8113562288,1225025.8113562288,0.0,992.703848031851,,58424.2,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-28,1117.9000244140625,1161.0999755859375,65827,1.0286143917085626,1260079.1797754755,1260079.1797754755,0.0,1012.5692326472356,,64014.3,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-29,1161.0999755859375,1144.25,25942,0.9854879201272618,1241792.8100725994,1260079.1797754755,-18286.36970287608,1029.923076923077,,63887.3,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-30,1140.3499755859375,1153.4000244140625,11035,1.0079965255967336,1251722.8380641846,1260079.1797754755,-8356.34171129088,1047.6615412785457,,59862.6,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-07-31,1157.0,1153.449951171875,12316,1.0000432865933377,1251777.0208816477,1260079.1797754755,-8302.158893827815,1064.6153846153845,,60175.8,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-03,1155.0,1142.449951171875,5601,0.9904633920276954,1239839.31416476,1260079.1797754755,-20239.865610715467,1076.0230712890625,,60146.6,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-04,1150.0,1103.1500244140625,4633,0.9656003077268284,1197189.223289312,1260079.1797754755,-62889.95648616343,1081.5115309495193,,59829.1,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-05,1118.0,1137.050048828125,163998,1.0307302032033843,1233979.0913938945,1260079.1797754755,-26100.08838158101,1092.2153789813701,,61448.8,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-06,1138.0,1171.75,17042,1.030517523135976,1271637.0768648183,1271637.0768648183,0.0,1105.0346116286057,,62431.4,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-07,1163.5999755859375,1163.949951171875,2161,0.9933432482798165,1263172.1045659494,1271637.0768648183,-8464.972298868932,1119.3307635967549,,43392.0,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-10,1169.0,1180.6500244140625,8293,1.0143477588751766,1281295.793340111,1281295.793340111,0.0,1133.7269193209136,,31684.8,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-11,1189.550048828125,1207.1500244140625,17783,1.022445262738339,1310054.8140671581,1310054.8140671581,0.0,1151.219228891226,,26880.4,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-12,1207.0,1166.0,5765,0.9659114247758589,1265396.9119900817,1310054.8140671581,-44657.90207707649,1154.857694185697,,24862.7,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-13,1187.9000244140625,1199.25,13182,1.028516295025729,1301481.3436570372,1310054.8140671581,-8573.470410120906,1160.2769211989182,,25077.4,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-14,1183.0,1195.1500244140625,7361,0.9965812169389723,1297031.8612850988,1310054.8140671581,-13022.952782059321,1162.8961557241587,,24581.9,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-17,1195.050048828125,1212.699951171875,8684,1.0146842876620585,1316077.8502430643,1316077.8502430643,0.0,1168.1615365835337,,24890.2,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-18,1225.0,1199.050048828125,5045,0.9887442047552162,1301264.347434533,1316077.8502430643,-14813.50280853128,1171.673076923077,,24931.4,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-19,1219.0,1202.800048828125,6755,1.0031274757910773,1305334.0201789264,1316077.8502430643,-10743.830064137932,1175.46923828125,,9207.1,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-20,1197.1500244140625,1196.25,1881,0.9945543327550521,1298225.605461522,1316077.8502430643,-17852.244781542337,1179.6077035757212,,7691.0,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,False,False,False
2020-08-21,1185.0999755859375,1199.5999755859375,168915,1.002800397564002,1301861.1532845816,1316077.8502430643,-14216.696958482731,1187.0269305889424,1089.3191187241498,24366.4,True,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-08-24,1217.0,1198.050048828125,8413,0.9987079636634242,1300179.1013693616,1316077.8502430643,-15898.748873702716,1191.71923828125,1097.454413918888,24378.4,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-08-25,1215.0,1181.1500244140625,3340,0.9858937241974213,1281838.4163726964,1316077.8502430643,-34239.43387036794,1192.4423170823318,1105.1029447667738,22934.1,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-08-26,1181.0,1199.4000244140625,1541,1.0154510431552108,1301644.1570620781,1316077.8502430643,-14433.693180986214,1195.1692457932693,1113.8250050264246,22511.7,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-08-27,1200.0,1186.75,6540,0.989453039722721,1287915.767842392,1316077.8502430643,-28162.08240067237,1195.6384746844951,1121.710298426011,21847.5,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-08-28,1185.0,1164.550048828125,7769,0.9812934896381925,1263823.3581861132,1316077.8502430643,-52254.49205695116,1192.361553485577,1128.8205943388098,21888.3,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-08-31,1194.5,1111.9000244140625,7335,0.9547893845635542,1206685.1263595633,1316077.8502430643,-109392.72388350102,1188.2000169020432,1134.0808895335479,21753.4,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-09-01,1100.0,1126.699951171875,8940,1.0133104833463886,1222746.6886383072,1316077.8502430643,-93331.16160475719,1182.6192439152644,1137.9794167911305,22142.9,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-09-02,1133.5,1146.5999755859375,1709,1.0176622217772926,1244343.1118304871,1316077.8502430643,-71734.7384125772,1178.8846247746394,1141.3558852251838,21638.3,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-09-03,1150.0,1184.699951171875,12379,1.033228655500771,1285690.9604182597,1316077.8502430643,-30386.889824804617,1176.7307786207932,1146.8500007180608,22688.1,False,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-09-04,1145.0,1144.4000244140625,7854,0.9659830096912312,1241955.62347764,1316077.8502430643,-74122.22676542425,1172.5269305889424,1150.9470609777113,6582.0,True,1.0,1000000.0,1000000.0,0.0,MPHASIS.BO,True,False,False
2020-09-07,1137.1500244140625,1148.0,10934,1.0031457318325214,1245862.4828169926,1316077.8502430643,-70215.36742607178,1168.311542217548,1155.9441205193016,6834.1,True,1.0031457318325214,1003145.7318325214,1003145.7318325214,0.0,MPHASIS.BO,True,False,False
2020-09-08,1146.5,1131.6500244140625,4509,0.9857578609878593,1228118.7361467022,1316077.8502430643,-87959.11409636214,1163.342313326322,1160.0073565314797,6951.0,False,1.0,1003145.7318325214,1003145.7318325214,0.0,MPHASIS.BO,True,False,False
2020-09-09,1153.9000244140625,1167.449951171875,4509,1.0316351575005256,1266970.4657940497,1316077.8502430643,-49107.38444901467,1160.8692345252405,1165.5279433306525,7247.8,False,1.0,1003145.7318325214,1003145.7318325214,0.0,MPHASIS.BO,False,True,False
2020-09-10,1165.0,1148.3499755859375,4005,0.9836395765259444,1246242.2924445376,1316077.8502430643,-69835.55779852672,1157.046151968149,1166.4000028722426,6994.3,False,1.0,1003145.7318325214,1003145.7318325214,0.0,MPHASIS.BO,False,True,False
2020-09-11,1142.550048828125,1155.0,3410,1.00579093878647,1253459.205273194,1316077.8502430643,-62618.644969870336,1155.0346116286057,1167.1705896714154,6558.4,False,1.0,1003145.7318325214,1003145.7318325214,0.0,MPHASIS.BO,False,True,False
2020-09-14,1185.0,1260.75,58150,1.0915584415584416,1368223.9766650905,1368223.9766650905,0.0,1159.7538405198318,1170.1014727424172,11639.9,False,1.0,1003145.7318325214,1003145.7318325214,0.0,MPHASIS.BO,False,True,False
2020-09-15,1260.1500244140625,1329.949951171875,38066,1.0548879247843546,1443322.9513844345,1443322.9513844345,0.0,1170.7692213792068,1175.5632360121783,14552.5,False,1.0,1003145.7318325214,1003145.7318325214,0.0,MPHASIS.BO,False,True,False
2020-09-16,1316.0,1299.050048828125,14302,0.976766116411732,1409788.9539516931,1443322.9513844345,-33533.99743274134,1181.1153752253606,1179.8470602596508,15811.8,False,1.0,1003145.7318325214,1003145.7318325214,0.0,MPHASIS.BO,True,False,False
2020-09-17,1297.9000244140625,1353.800048828125,39298,1.042146182165491,1469206.1760198383,1469206.1760198383,0.0,1199.7230694110576,1185.739710190717,18503.7,True,1.0,1003145.7318325214,1003145.7318325214,0.0,MPHASIS.BO,True,False,False
2020-09-18,1340.0,1399.5999755859375,33231,1.0338306434524491,1518910.3663189015,1518910.3663189015,0.0,1220.7153789813701,1193.3029462028953,21041.4,True,1.0338306434524491,1037082.7974169936,1037082.7974169936,0.0,MPHASIS.BO,True,False,False
