Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol,Long_Condition,Sell_Condition,New_Sell_Condition
2002-07-01,11.25,12.100000381469727,699835,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-02,12.199999809265137,11.600000381469727,418694,0.9586776872531579,958677.687253158,958677.687253158,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-03,11.75,11.75,290083,1.0129310011721973,971074.3495507878,971074.3495507878,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-04,11.949999809265137,11.5,218650,0.9787234042553191,950413.1931773669,971074.3495507878,-20661.156373420963,,,,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-05,11.800000190734863,11.5,266487,1.0,950413.1931773669,971074.3495507878,-20661.156373420963,,,,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-08,11.399999618530273,11.699999809265137,316357,1.0173912877621858,966942.1025128922,971074.3495507878,-4132.247037895606,,,,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-09,11.800000190734863,11.899999618530273,471541,1.0170940010705605,983471.0118484177,983471.0118484177,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-10,12.0,12.949999809265137,2404098,1.0882353129742828,1070247.8843799974,1070247.8843799974,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-11,12.899999618530273,12.350000381469727,1389031,0.9536679971712325,1020661.156373421,1070247.8843799974,-49586.72800657642,,,,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-12,12.800000190734863,12.100000381469727,478362,0.9797570856455109,1000000.0,1070247.8843799974,-70247.88437999738,,,695313.8,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-15,12.449999809265137,11.350000381469727,292324,0.9380165308797369,938016.5308797369,1070247.8843799974,-132231.3535002605,,,654562.7,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-16,11.550000190734863,11.100000381469727,328422,0.9779735690222393,917355.3745063159,1070247.8843799974,-152892.50987368147,,,645535.5,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-17,10.949999809265137,10.800000190734863,255206,0.9729729567184807,892561.9710949993,1070247.8843799974,-177685.91328499804,11.74615397820106,,642047.8,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-18,11.300000190734863,11.149999618530273,127012,1.0324073538531664,921487.5427281547,1070247.8843799974,-148760.3416518427,11.673076996436485,,632884.0,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-19,11.800000190734863,10.899999618530273,183774,0.9775784745692258,900826.3863547336,1070247.8843799974,-169421.49802526378,11.619230783902681,,624612.7,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-22,10.600000381469727,9.899999618530273,277158,0.9082568775231905,818181.7608610496,1070247.8843799974,-252066.12351894774,11.476923062251164,,620692.8,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-23,9.899999618530273,9.75,180440,0.9848485227969592,805785.0985634198,1070247.8843799974,-264462.7858165776,11.34230767763578,,591582.7,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-24,9.550000190734863,9.300000190734863,171146,0.9538461734087039,768595.0328544733,1070247.8843799974,-301652.85152552405,11.173076923076923,,368287.5,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-25,9.75,9.25,142624,0.9946236355151179,764462.7858165777,1070247.8843799974,-305785.09856341965,10.984615399287296,,243646.8,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-26,9.300000190734863,8.899999618530273,133245,0.9621621209221918,735537.1353673657,1070247.8843799974,-334710.7490126317,10.753846168518066,,209135.1,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-29,9.25,8.050000190734863,236710,0.9044944422215855,665289.2509873683,1070247.8843799974,-404958.6333926291,10.376923120938814,,203573.7,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-30,8.300000190734863,8.050000190734863,205228,1.0,665289.2509873683,1070247.8843799974,-404958.6333926291,10.046153875497671,,191254.3,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-07-31,7.949999809265137,7.650000095367432,217036,0.9503105483366558,632231.392908289,1070247.8843799974,-438016.4914717084,9.70384616118211,,187437.3,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-01,8.699999809265137,9.199999809265137,294537,1.2026143391601172,760330.5387786824,1070247.8843799974,-309917.345601315,9.538461501781757,,204189.8,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-02,9.949999809265137,9.850000381469727,1360511,1.0706522375739602,814049.5926392111,1070247.8843799974,-256198.29174078628,9.44230765562791,,321863.5,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-05,9.899999618530273,9.25,418809,0.9390862580474134,764462.7858165778,1070247.8843799974,-305785.09856341954,9.32307687172523,,336028.6,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-06,9.100000381469727,8.949999809265137,197734,0.9675675469475824,739669.3824052614,1070247.8843799974,-330578.501974736,9.153846117166372,,337758.0,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-07,9.25,9.199999809265137,252580,1.0279329614891386,760330.5387786825,1070247.8843799974,-309917.3456013149,9.023076901069054,,345901.4,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-08,9.399999618530273,8.699999809265137,167965,0.9456521727863015,719008.2260318404,1070247.8843799974,-351239.65834815695,8.930769223433275,,348435.5,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-09,9.0,8.75,90536,1.005747148486327,723140.4730697359,1070247.8843799974,-347107.41131026146,8.853846146510197,,344164.6,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-12,9.25,8.899999618530273,34032,1.017142813546317,735537.1353673659,1070247.8843799974,-334710.7490126315,8.82307687172523,,323896.8,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-13,8.949999809265137,8.75,32946,0.9831461095551098,723140.4730697359,1070247.8843799974,-347107.41131026146,8.784615333263691,,306668.6,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-14,8.800000190734863,8.75,29802,1.0,723140.4730697359,1070247.8843799974,-347107.41131026146,8.773076901069054,,287945.2,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,False,False
2002-08-15,8.75,8.75,0,1.0,723140.4730697359,1070247.8843799974,-347107.41131026146,8.826923040243296,10.136764708687277,258491.5,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,True,False
2002-08-16,10.0,8.649999618530273,55632,0.9885713849748884,714875.9789939448,1070247.8843799974,-355371.90538605256,8.873076842381405,10.035294098012587,128003.6,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,True,False
2002-08-19,8.699999809265137,8.600000381469727,45242,0.994219741125371,710743.810772106,1070247.8843799974,-359504.07360789133,8.946153787466196,9.94705880389494,90646.9,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,True,False
2002-08-20,8.649999618530273,8.600000381469727,59855,1.0,710743.810772106,1070247.8843799974,-359504.07360789133,8.899999985328087,9.854411756291109,76859.0,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,True,False
2002-08-21,8.550000190734863,8.600000381469727,30183,1.0,710743.810772106,1070247.8843799974,-359504.07360789133,8.803846139174242,9.769117649863748,54619.3,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,True,False
2002-08-22,8.550000190734863,8.449999809265137,49269,0.9825580737731369,698347.0696584195,1070247.8843799974,-371900.8147215779,8.742307662963867,9.679411761900958,42749.7,False,1.0,1000000.0,1000000.0,0.0,NOCIL.NS,False,True,False
