Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol
2020-07-07,274.3999938964844,269.3999938964844,50286,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
2020-07-08,270.0,259.25,52754,0.9623237040592345,962323.7040592345,962323.7040592345,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
2020-07-09,261.8999938964844,258.45001220703125,46947,0.9969142225922131,959354.1873142706,962323.7040592345,-2969.5167449638247,,,,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
2020-07-10,259.0,255.5,30007,0.9885857532687282,948403.8819175869,962323.7040592345,-13919.822141647572,,,,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
2020-07-13,258.8999938964844,247.85000610351562,59359,0.970058732303388,920007.4674045864,962323.7040592345,-42316.23665464809,,,,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
2020-07-14,247.0,243.64999389648438,17546,0.9830542178591793,904417.2212940202,962323.7040592345,-57906.482765214285,,,,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
2020-07-15,246.0,240.85000610351562,40333,0.9885081557024035,894023.7994068444,962323.7040592345,-68299.90465239005,,,,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
2020-07-16,241.89999389648438,245.0,57837,1.0172306156998838,909428.3799209738,962323.7040592345,-52895.32413826068,,,,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
2020-07-17,245.1999969482422,247.14999389648438,58830,1.008775485291773,917409.0552928912,962323.7040592345,-44914.64876634325,,,,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
2020-07-20,251.0,252.5,128653,1.0216467984448196,937268.0242042688,962323.7040592345,-25055.679854965652,,,54255.2,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
2020-07-21,253.89999389648438,248.39999389648438,57739,0.9837623520652846,922048.9960067736,962323.7040592345,-40274.70805246092,,,55000.5,False,1.0,1000000.0,1000000.0,0.0,RITES.BO
