Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol,Long_Condition,Sell_Condition,New_Sell_Condition
2020-07-07,241.8000030517578,245.39999389648438,176097,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-08,254.0,257.6499938964844,86506,1.049918501649056,1049918.501649056,1049918.501649056,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-09,255.0,244.8000030517578,20253,0.9501261744648467,997555.0494716814,1049918.501649056,-52363.45217737474,,,,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-10,232.60000610351562,232.60000610351562,6856,0.9501634117804207,947840.3092447992,1049918.501649056,-102078.1924042569,,,,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-13,221.0,225.8000030517578,155131,0.9707652498997289,920130.4346690639,1049918.501649056,-129788.0669799922,,,,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-14,225.0,218.3000030517578,52178,0.9667847657279223,889568.0867206622,1049918.501649056,-160350.4149283939,,,,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-15,222.89999389648438,229.1999969482422,9675,1.0499312585620992,933985.3408673035,1049918.501649056,-115933.16078175255,,,,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-16,236.5,238.9499969482422,69311,1.0425392675821097,973716.3932002258,1049918.501649056,-76202.10844883032,,,,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-17,238.9499969482422,244.60000610351562,62738,1.0236451526571781,996740.065962242,1049918.501649056,-53178.43568681413,,,,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-20,245.0,241.5,19901,0.9873262222969704,984107.6039385335,1049918.501649056,-65810.89771052264,,,65864.6,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-21,241.9499969482422,235.4499969482422,23282,0.9749482275289532,959453.9641576383,1049918.501649056,-90464.53749141784,,,50583.1,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-22,232.10000610351562,233.10000610351562,25565,0.9900191510928618,949877.7991080261,1049918.501649056,-100040.70254103001,,,44489.0,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-23,232.89999389648438,229.35000610351562,12781,0.9839124843337211,934596.6251338252,1049918.501649056,-115321.87651523086,236.66923170823318,,43741.8,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-24,226.10000610351562,225.10000610351562,15759,0.98146937045172,917277.9612963976,1049918.501649056,-132640.54035265849,235.1076941856971,,44632.1,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-27,221.0,236.35000610351562,44181,1.0499777862948014,963121.4832190002,1049918.501649056,-86797.01843005593,233.46923358623798,,33537.1,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-28,241.89999389648438,234.8000030517578,46746,0.9934419165994057,956805.2522071458,1049918.501649056,-93113.2494419103,232.7000028170072,,32993.9,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-29,234.10000610351562,233.4499969482422,10668,0.9942503999745773,951304.004704731,1049918.501649056,-98614.49694432504,232.76538672814002,,33093.2,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-30,235.10000610351562,226.8000030517578,8717,0.9715142686510347,924205.4143955173,1049918.501649056,-125713.08725353878,232.8423098050631,,27033.8,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-07-31,224.3000030517578,223.8000030517578,16545,0.9867724869504725,911980.4752161566,1049918.501649056,-137938.02643289953,233.26538672814002,,22414.5,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-08-03,223.8000030517578,215.9499969482422,29426,0.9649240125269338,879991.8594917937,1049918.501649056,-169926.64215726242,232.24615595890924,,23367.0,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-08-04,217.0,226.6999969482422,73726,1.0497800423797945,923797.8915511693,1049918.501649056,-126120.61009788676,231.30384826660156,,28411.4,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-08-05,228.25,230.5500030517578,38182,1.0169828237994842,939486.5883697178,1049918.501649056,-110431.91327933827,230.22307880108173,,29673.1,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-08-06,229.0,238.14999389648438,71179,1.032964609603672,970456.3969832113,1049918.501649056,-79462.10466584482,229.96538602388821,,35512.9,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-08-07,242.10000610351562,236.3000030517578,29195,0.9922318249332784,962917.7217968259,1049918.501649056,-87000.77985223022,230.03077110877405,,36856.5,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-08-10,239.75,256.6000061035156,89827,1.085907756198003,1045639.8226796841,1049918.501649056,-4278.6789693719475,231.83846341646634,,41421.1,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
2020-08-11,257.20001220703125,253.89999389648438,20503,0.989477739116101,1034637.3276748547,1049918.501649056,-15281.173974201432,233.72692401592548,,38796.8,False,1.0,1000000.0,1000000.0,0.0,SWSOLAR.BO,False,False,False
