Date,Open,Close,Volume,Return,Bench_Bal,Bench_Peak,Bench_DD,Fast_MA,Slow_MA,Avg_Volume_10D,Long,Sys_Ret,Sys_Bal,Sys_Peak,Sys_DD,Symbol,Long_Condition,Sell_Condition,New_Sell_Condition
2020-07-07,779.4500122070312,781.0499877929688,4698,,,,,,,,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-08,785.0,762.7999877929688,5959,0.9766340179435,976634.0179435001,976634.0179435001,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-09,762.7999877929688,764.9000244140625,3552,1.002753063259964,979322.7531767312,979322.7531767312,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-10,784.9500122070312,773.2999877929688,3516,1.0109817794624087,990077.459674637,990077.459674637,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-13,785.0,784.2999877929688,3613,1.014224751291403,1004161.0652977328,1004161.0652977328,0.0,,,,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-14,771.3499755859375,770.9500122070312,4455,0.9829784829864596,987068.7206404327,1004161.0652977328,-17092.344657300157,,,,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-15,770.5999755859375,767.4000244140625,2212,0.9953953074301068,982523.5726365258,1004161.0652977328,-21637.492661206983,,,,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-16,763.5999755859375,758.5,1189,0.9884023662615101,971128.6241016547,1004161.0652977328,-33032.441196078085,,,,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-17,761.9000244140625,743.2999877929688,2108,0.9799604321594841,951667.6261571029,1004161.0652977328,-52493.439140629955,,,,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-20,745.0,746.9500122070312,3030,1.0049105670308165,956340.8538264054,1004161.0652977328,-47820.211471327464,,,3433.2,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-21,748.5999755859375,762.7000122070312,5346,1.0210857483668325,976506.0164231106,1004161.0652977328,-27655.04887462221,,,3498.0,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-22,765.0,750.25,2243,0.9836763970004346,960565.9198843327,1004161.0652977328,-43595.14541340014,,,3126.4,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-23,749.9500122070312,751.2999877929688,1621,1.0013995172182188,961910.2484284451,1004161.0652977328,-42250.81686928775,762.9000009390024,,2933.3,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-24,746.2999877929688,741.5499877929688,3624,0.9870224941322816,949427.0525352465,1004161.0652977328,-54734.01276248635,759.8615394005409,,2944.1,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-27,743.0,734.0,3719,0.9898186394481114,939760.5933956683,1004161.0652977328,-64400.47190206451,757.6461557241587,,2954.7,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-28,735.0,745.4000244140625,929,1.0155313684115292,954356.3613903337,1004161.0652977328,-49804.70390739909,756.1461557241587,,2602.1,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-29,735.0499877929688,744.0,1464,0.9981217810998021,952563.8712348463,1004161.0652977328,-51597.19406288653,753.8923105093149,,2527.3,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-30,750.0,741.75,2258,0.9969758064516129,949683.1337210312,1004161.0652977328,-54477.93157670158,750.6192345252404,,2634.2,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-07-31,748.9000244140625,743.8499755859375,728,1.0028311096541118,952371.7908092559,1004161.0652977328,-51789.27448847692,748.5346163236178,,2496.2,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-03,745.0,741.9500122070312,1399,0.9974457707316456,949939.2149068159,1004161.0652977328,-54221.85039091692,746.5769230769231,,2333.1,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-04,744.4000244140625,734.5,733,0.9899588758212023,940400.757287627,1004161.0652977328,-63760.30801010586,744.7307692307693,,1871.8,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-05,735.8499755859375,730.2999877929688,991,0.9942818077508083,935023.3649661709,1004161.0652977328,-69137.70033156197,743.7307692307693,,1746.6,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-06,730.2999877929688,740.0499877929688,352,1.0133506780268002,947506.5608593696,1004161.0652977328,-56654.50443836325,743.1999981219952,,1619.7,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-07,741.4500122070312,751.9000244140625,6643,1.0160124813412048,962678.4919857994,1004161.0652977328,-41482.57331193343,742.3692298302284,,1921.6,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-10,769.0,749.4000244140625,2833,0.9966750898805354,959477.672526005,1004161.0652977328,-44683.39277172787,742.3038470928485,,1833.0,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-11,749.4000244140625,736.5,1978,0.9827861969658345,942961.4128554626,1004161.0652977328,-61199.65244227019,741.1653864933894,,1937.9,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-12,740.0,740.1500244140625,11624,1.0049559055180755,947634.6405247652,1004161.0652977328,-56526.424772967584,741.0576970027043,,2953.9,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-13,734.75,750.7000122070312,3387,1.0142538504964864,961142.0830160968,1004161.0652977328,-43018.98228163598,742.3423133263221,,3066.8,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-14,754.5499877929688,749.0999755859375,6976,0.997868607173204,959093.5116748246,1004161.0652977328,-45067.55362290819,742.6269249549279,,3691.6,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-17,751.0999755859375,792.25,24253,1.057602490749397,1014339.6868088803,1014339.6868088803,0.0,746.3384634164663,,5977.0,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-18,805.0,790.75,8836,0.9981066582518144,1012419.1951330035,1014339.6868088803,-1920.4916758767795,750.1076941856971,,6787.3,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-19,804.5,791.7999877929688,2966,1.001327837866543,1013763.5236771159,1014339.6868088803,-576.1631317643914,753.796156663161,,6984.8,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-20,803.5999755859375,806.2999877929688,9434,1.0183127055109167,1032328.2765439241,1032328.2765439241,0.0,758.7461547851562,,7893.0,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,False,False,False
2020-08-21,810.0,816.6500244140625,3567,1.0128364588587235,1045579.715994477,1045579.715994477,0.0,765.0653874323918,758.5455896714154,7585.4,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,True,False,False
2020-08-24,820.5999755859375,814.9000244140625,3670,0.9978570991885347,1043339.1423726209,1045579.715994477,-2240.573621856165,771.5730825570913,759.5411789838006,7669.1,False,1.0,1000000.0,1000000.0,0.0,THERMAX.BO,True,False,False
